WSTNID,WXSTN_NUM,WX_YEAR,WX_DATE,TEMP,REL_HUM,WIND_DIR,WIND_SPEED,RAIN,FFMC,DMC,DC,ISI,BUI,FWI,DSR,OBS_TYPE
ID1,110,2019,2019-05-19,14.3,36,13,14.5,0,87.7978,8.5947,19.978,4.8459,8.5606,4.8316,,A
ID1,110,2019,2019-05-20,15.5,35,287,12.3,0,88.1055,8.8406,20.194,4.7384,8.7982,4.7909,,A
ID1,110,2019,2019-05-21,19.8,25,260,11.9,0,91.2832,12.9673,26.162,7.3641,12.8649,8.8102,,A
ID1,110,2019,2019-05-22,20.1,26,75,17.2,0,91.843,17.0974,32.184,9.3681,16.959,12.3213,,A
ID1,110,2019,2019-05-23,13.4,26,48,13.7,0,91.8477,19.9222,37,8.4415,19.7747,12.2343,,E
ID1,110,2019,2019-05-24,18.8,40,170,13.5,0,90.8778,23.0656,42.788,7.3102,22.9141,11.7534,,A
ID1,110,2019,2019-05-25,6,82,301,21.6,0,83.9231,23.4021,46.272,3.5068,23.2823,6.2625,,A
ID1,110,2019,2019-05-26,9.7,33,326,9.7,0.5,86.9665,25.3071,50.422,3.7185,25.1895,6.9385,,A
ID1,110,2019,2019-05-27,16.7,19,207,18.5,0,91.7323,29.1029,55.832,9.6017,28.9616,16.38,,A
ID1,110,2019,2019-05-28,18.3,29,281,15.7,0,91.737,32.7291,61.53,8.8193,32.5724,16.3087,,A
ID1,110,2019,2019-05-29,19,21,296,16.5,0,92.7048,36.9095,67.354,10.3679,36.73,19.5364,,A
ID1,110,2019,2019-05-30,11.9,34,75,13.2,0,91.39,39.1683,71.9,7.7844,38.9884,16.2928,,A
ID1,110,2019,2019-05-31,11.8,36,304,11.8,0.3,90.6005,41.3418,76.428,6.6813,41.1623,14.9296,,A
ID1,110,2019,2019-06-01,7.6,49,334,8.5,0.3,88.6297,42.5099,81.2,4.5541,42.3478,11.2055,,A
ID1,110,2019,2019-06-02,10.3,46,310,8.3,0.3,88.255,44.1306,86.458,4.2939,43.9813,10.9142,,A
ID1,110,2019,2019-06-03,15.5,31,123,15.3,0,89.6549,47.146,92.652,6.4867,46.9942,15.6726,,A
ID1,110,2019,2019-06-04,13,49,47,15.4,0,88.4975,49.0391,98.396,5.4939,48.8976,14.0992,,A
ID1,110,2019,2019-06-05,21.6,32,328,11.3,0,90.456,53.1029,105.688,6.4465,52.9501,16.633,,A
ID1,110,2019,2019-06-06,20.5,32,290,14.8,0.3,90.711,56.9698,112.782,7.4319,56.8071,19.1835,,A
ID1,110,2019,2019-06-07,20.6,44,56,14.2,0,90.215,60.169,119.894,6.7851,60.0056,18.4738,,A
ID1,110,2019,2019-06-08,21.8,81,190,12.6,3.3,62.1444,46.8619,123.3385,0.6788,48.0668,1.4457,,A
ID1,110,2019,2019-06-09,14,59,266,13.3,4.8,53.9606,32.9579,122.0557,0.3787,39.3514,0.5384,,A
ID1,110,2019,2019-06-10,15,31,261,19.2,0.3,79.0911,35.8825,128.1597,1.8542,42.2158,4.971,,A
ID1,110,2019,2019-06-11,10.5,68,276,11.2,2,66.4062,33.2416,133.4537,0.7794,40.9702,1.5291,,A
ID1,110,2019,2019-06-12,16,35,303,13,0.3,82.4351,36.1678,139.7377,2.2277,43.9179,6.1204,,A
ID1,110,2019,2019-06-13,20.2,51,329,7.2,8.1,58.5705,21.9553,131.8376,0.4622,31.003,0.558,,A
ID1,110,2019,2019-06-14,15.1,34,12,18.1,0,80.0871,24.7701,137.9596,1.9875,34.1925,4.5933,,A
ID1,110,2019,2019-06-15,18,28,45,11.2,0,88.3805,28.3905,144.6036,4.763,38.0868,10.9429,,A
ID1,110,2019,2019-06-16,21.1,22,57,11.8,0,92.1395,32.9492,151.8056,8.3145,42.7185,17.9477,,A
ID1,110,2019,2019-06-17,21.6,30,8,10.1,0,92.1442,37.1325,159.0976,7.9111,46.8997,18.1623,,A
ID1,110,2019,2019-06-18,20.8,30,93,16,0,92.1489,41.1684,166.2456,9.4432,50.8537,21.5351,,A
ID1,110,2019,2019-06-19,24.3,24,93,13.3,0,92.9666,46.2505,174.0236,9.7737,55.5752,23.0892,,A
ID1,110,2019,2019-06-20,24.2,30,350,7.3,0,92.9713,50.9129,181.7836,8.1576,59.891,21.0974,,A
ID1,110,2019,2019-06-21,27.7,21,65,6.8,0,94.1592,56.9027,190.1736,9.4804,65.1047,24.4971,,A
ID1,110,2019,2019-06-22,22.6,34,118,17,0,92.7295,61.0207,197.6456,10.5623,68.8782,27.1669,,A
ID1,110,2019,2019-06-23,21.9,54,141,16.5,4.6,70.5606,43.913,196.8539,1.0491,56.3824,3.3358,,A
ID1,110,2019,2019-06-24,24,40,192,6.9,0,85.1587,47.8778,204.5779,2.6481,60.4106,8.7973,,A
ID1,110,2019,2019-06-25,24.9,52,241,6.2,0,87.1414,51.1634,212.4639,3.4295,63.8734,11.3002,,A
ID1,110,2019,2019-06-26,19.8,75,309,14.5,20.3,44.7983,22.5677,170.4015,0.1236,33.9085,0.1585,,A
ID1,110,2019,2019-06-27,21.4,47,298,13.6,1,73.2456,25.7071,177.6575,1.0633,37.756,2.3485,,A
ID1,110,2019,2019-06-28,22.6,41,303,13.9,0,85.8912,29.3883,185.1295,3.6233,42.0777,9.2273,,A
ID1,110,2019,2019-06-29,24.2,36,79,9.5,0,89.6921,33.6511,192.8895,5.467,46.8631,13.7199,,A
ID1,110,2019,2019-06-30,28.4,21,247,22,1.3,92.1123,39.7865,201.4055,11.263,53.2667,24.9652,,A
ID1,110,2019,2019-07-01,25.2,29,234,14.5,0,92.1728,44.172,209.6455,9.055,57.8642,22.3289,,A
ID1,110,2019,2019-07-02,19.2,76,244,10.7,6.4,52.4854,27.5903,203.5878,0.3007,41.2164,0.4415,,A
ID1,110,2019,2019-07-03,21.2,44,237,15.4,0,78.985,30.5232,211.1078,1.6348,44.8388,4.5594,,A
ID1,110,2019,2019-07-04,23.3,34,228,16.3,0,88.738,34.3053,219.0058,5.8614,49.3033,14.8883,,A
ID1,110,2019,2019-07-05,17.2,48,288,17.2,0,88.7425,36.5402,225.8058,6.0149,52.0311,15.6368,,A
ID1,110,2019,2019-07-06,21.7,34,154,9.8,0,90.1834,40.0743,233.4158,5.9251,56.0787,16.1022,,A
ID1,110,2019,2019-07-07,24.7,41,218,12.4,0,90.188,43.6493,241.5658,6.3945,60.134,17.7029,,A
ID1,110,2019,2019-07-08,19.6,85,175,11.7,6.6,45.94,26.5368,233.9251,0.135,41.3473,0.1986,,A
ID1,110,2019,2019-07-09,26.1,53,44,8.4,0,75.9026,29.5392,242.3271,1.0393,45.2796,2.7107,,A
ID1,110,2019,2019-07-10,23.9,33,345,17.5,0,88.578,33.473,250.3331,5.9341,50.1737,15.1735,,A
ID1,110,2019,2019-07-11,22.3,49,179,12.1,0,88.5826,36.2758,258.0511,5.0537,53.6846,13.9167,,A
ID1,110,2019,2019-07-12,18.8,62,310,15,1.3,80.188,38.0518,265.1391,1.8254,56.0083,5.9702,,A
ID1,110,2019,2019-07-13,25.8,32,266,12.8,0,89.8424,42.3477,273.4871,6.1784,61.059,17.3991,,A
ID1,110,2019,2019-07-14,28.6,45,114,6.2,0,89.847,46.1841,282.3391,5.0539,65.5586,15.5537,,A
ID1,110,2019,2019-07-15,20,89,154,0,17,22.2887,20.3756,241.4671,0.0003,33.6521,0.0004,,A
ID1,110,2019,2019-07-16,22,39,312,0,5.6,43.5191,15.5237,237.1514,0.0649,26.6811,0.0709,,A
